Analyte,Unit,n,Min,Max,Mean,Median,5th Percentile,25th Percentile,75th Percentile,95th Percentile,MCL/SMCL limit,% Exceeding MCL/SMCL
DO,mg/L,30,0.398,9.2,3.724,2.975,0.521,1.03,5.692,8.927,-,-
SC,µS/cm,30,447.6,2392.0,778.997,671.5,497.865,605.25,836.0,1219.9,-,-
pH,pH unit,30,6.37,7.87,7.047,6.99,6.572,6.885,7.198,7.566,6.5-8.5,3.3% (1)
Alkalinity,mg CaCO3/L,27,175.0,404.0,271.37,269.0,194.7,231.0,305.5,366.7,-,-
Air [CH4],"ppm, max",28,5.0,16.0,5.679,5.0,5.0,5.0,5.0,9.3,-,-
F,mg/L,30,0.057,1.4,0.196,0.128,0.068,0.095,0.184,0.356,2,0.0% (0)
Cl,mg/L,30,1.45,568.0,68.906,16.9,3.644,8.645,88.05,228.85,250,6.7% (2)
SO4,mg/L,30,17.1,82.5,38.367,33.8,20.36,26.2,43.35,73.305,250,0.0% (0)
Br,mg/L,30,0.014,0.124,0.041,0.034,0.02,0.025,0.044,0.084,2,0.0% (0)
NO3-NO3,mg/L,30,0.143,26.8,4.841,2.905,0.166,0.876,6.55,14.25,44,0.0% (0)
Al,mg/L,30,0.01,0.02,0.011,0.01,0.01,0.01,0.01,0.015,0.05-0.2,0.0% (0)
Ba,mg/L,30,0.04,0.24,0.139,0.135,0.05,0.1,0.17,0.24,2,0.0% (0)
Ca,mg/L,30,33.8,219.0,92.54,88.45,40.945,60.6,116.75,159.45,-,-
Fe,mg/L,30,0.005,0.13,0.012,0.005,0.005,0.005,0.005,0.037,0.3,0.0% (0)
K,mg/L,30,0.03,3.59,2.198,2.325,1.128,1.625,2.685,3.375,-,-
Mg,mg/L,30,6.17,37.1,18.987,17.4,8.952,13.1,25.0,32.09,-,-
Mn,mg/L,30,0.005,0.43,0.041,0.005,0.005,0.005,0.01,0.266,0.05,13.3% (4)
Na,mg/L,30,3.4,193.0,41.17,21.6,4.358,5.873,62.725,120.855,-,-
P,mg/L,30,0.01,0.04,0.018,0.02,0.01,0.01,0.02,0.035,-,-
Si,mg/L,30,4.07,9.62,5.812,5.325,4.598,4.93,5.772,9.175,-,-
Sr,mg/L,30,0.24,2.14,0.697,0.49,0.254,0.39,0.9,1.624,4,0.0% (0)
Li,µg/L,30,4.79,38.03,12.009,11.85,4.854,6.698,13.975,27.12,10,53.3% (16)
Be,µg/L,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4,0.0% (0)
Ni,µg/L,30,0.08,1.23,0.414,0.275,0.098,0.182,0.46,1.178,100,0.0% (0)
Cu,µg/L,30,0.05,23.2,3.882,2.8,0.151,1.188,4.842,10.9,1000,0.0% (0)
As,µg/L,30,0.05,2.62,0.262,0.14,0.05,0.055,0.262,0.546,10,0.0% (0)
Cd,µg/L,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5,0.0% (0)
Tl,µg/L,30,0.05,0.21,0.062,0.05,0.05,0.05,0.05,0.132,2,0.0% (0)
Pb,µg/L,30,0.05,0.64,0.236,0.165,0.05,0.085,0.358,0.546,15,0.0% (0)
U,µg/L,30,0.05,0.94,0.36,0.365,0.05,0.173,0.538,0.68,30,0.0% (0)
87Sr/86Sr,-,29,0.7111,0.7122,0.7116,0.7116,0.7113,0.7114,0.7117,0.7121,-,-
Benzene,µg/L,29,0.04,0.74,0.099,0.04,0.04,0.04,0.04,0.45,5,0.0% (0)
Toluene,µg/L,29,0.04,3.13,0.29,0.04,0.04,0.04,0.04,2.132,1000,0.0% (0)
Ethylbenzene,µg/L,29,0.04,9.21,0.677,0.04,0.04,0.04,0.04,5.554,700,0.0% (0)
"m,p-Xylene",µg/L,29,0.08,0.21,0.088,0.08,0.08,0.08,0.08,0.128,10000,0.0% (0)
o-Xylene,µg/L,29,0.06,0.28,0.072,0.06,0.06,0.06,0.06,0.118,10000,0.0% (0)
Xylene(total),μg/L,29,0.14,0.36,0.16,0.14,0.14,0.14,0.14,0.3,10000,0.0% (0)
Methane,mg/L,30,0.0,0.041,0.005,0.001,0.0,0.0,0.004,0.024,10,0.0% (0)
Ethane,mg/L,30,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,-,-
Propane,mg/L,30,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,-,-
δ13C1(‰),-,0,-,-,-,-,-,-,-,-,-,-
δDC1(‰),-,0,-,-,-,-,-,-,-,-,-,-
δ13C2(‰),-,0,-,-,-,-,-,-,-,-,-,-
